sl.no,smiles_format,xyz_file,energy
96,[CH2]C#C[CH2],c6h9_aggregates_ag_a_004_b_004_000_selected_result_003_005_ag_a_004_b_004.xyz,-154.517607
97,C#C[C]C,c6h10_aggregates_ag_a_004_b_004_007_selected_result_027_000_ag_a_004_b_004.xyz,NULL
98,[C]1[C@H]2C[C@@H]12,c4h5_aggregates_ag_a_004_b_004_000_selected_result_026_001_ag_a_004_b_004.xyz,-154.438494
99,[CH]1[C@H]2[CH][C@@H]12,c7h8_aggregates_ag_a_004_b_004_009_selected_result_031_000_ag_a_004_b_004.xyz,-154.435161
100,[CH]1[C]2C[C@H]12,c5h6_aggregates_ag_a_004_b_004_001_selected_result_015_003_ag_a_004_b_004.xyz,-154.449636
101,[CH]/[C]=[C]/C,c4h4_aggregates_ag_a_004_b_004_000_selected_result_007_000_ag_a_004_b_004.xyz,-154.431151
102,[CH]C1C=C1,c8h4_aggregates_ag_a_004_b_004_004_selected_result_013_000_ag_a_004_b_004.xyz,-154.375354
103,[CH]=[C][C]C,c10h6_aggregates_ag_a_004_b_004_005_selected_result_012_000_ag_a_004_b_004.xyz,-154.431151
104,[CH]C#CC,c4h8_aggregates_ag_a_004_b_004_008_selected_result_017_000_ag_a_004_b_004.xyz,-154.431135
105,C=C1C=C1,c6h7_aggregates_ag_a_004_b_004_006_selected_result_012_003_ag_a_004_b_004.xyz,-154.490676
106,[C]=C1CC1,c5h9_aggregates_ag_a_004_b_004_007_selected_result_031_004_ag_a_004_b_004.xyz,-154.432522
107,[CH]1[C]2C[C@@H]12,c7h8_aggregates_ag_a_004_b_004_009_selected_result_013_000_ag_a_004_b_004.xyz,-154.449631
108,[CH]C=C=C,c4h4_aggregates_ag_a_004_b_004_004_selected_result_019_002_ag_a_004_b_004.xyz,-154.413934
109,[C]=C([CH])C,c10h10_aggregates_ag_a_004_b_004_003_selected_result_023_001_ag_a_004_b_004.xyz,NULL
110,C=C1[C]C1,c4h4_aggregates_ag_a_004_b_004_004_selected_result_031_002_ag_a_004_b_004.xyz,-154.411516
111,[CH][CH][C]=C,c4h4_aggregates_ag_a_004_b_004_000_selected_result_025_000_ag_a_004_b_004.xyz,NULL
112,[C]=CC=C,c4h7_aggregates_ag_a_004_b_004_006_selected_result_007_000_ag_a_004_b_004.xyz,-154.446146
113,[CH]=C=[C]C,c10h8_aggregates_ag_a_004_b_004_002_selected_result_027_000_ag_a_004_b_004.xyz,-154.431152
114,C#C[CH]C,c4h8_aggregates_ag_a_004_b_005_002_selected_result_022_000_ag_a_004_b_005.xyz,-155.104914
115,[CH2]C#CC,c8h9_aggregates_ag_a_004_b_005_007_selected_result_014_000_ag_a_004_b_005.xyz,-155.111613
116,[CH]1C=CC1,c9h5_aggregates_ag_a_004_b_005_007_selected_result_019_001_ag_a_004_b_005.xyz,-155.103949
117,[CH]=CC=C,c5h8_aggregates_ag_a_004_b_005_008_selected_result_010_000_ag_a_004_b_005.xyz,-155.088467
118,[CH2]C1=CC1,c10h8_aggregates_ag_a_004_b_005_002_selected_result_021_005_ag_a_004_b_005.xyz,-155.084582
