sl.no,smiles_format,xyz_file,energy,Formula,Mol_wt
53,[C]#CC#C,c9h3_aggregates_ag_a_004_b_001_001_selected_result_017_000_ag_a_004_b_001.xyz,-152.567186,C4H,49.086999999999996
54,[C]C1=C[C]1,c7h7_aggregates_ag_a_004_b_001_007_selected_result_011_001_ag_a_004_b_001.xyz,-152.51145,C4H,49.086999999999996
55,[C]1[C]2[CH][C]12,c10h1_aggregates_ag_a_004_b_001_002_selected_result_023_001_ag_a_004_b_001.xyz,-152.517285,C4H,49.086999999999996
56,[CH][C]1[C][C]1,c7h1_aggregates_ag_a_004_b_001_003_selected_result_014_000_ag_a_004_b_001.xyz,,C4H,49.086999999999996
57,[C]=CC#[C],c10h6_aggregates_ag_a_004_b_001_005_selected_result_019_001_ag_a_004_b_001.xyz,-152.567186,C4H,49.086999999999996
70,[C]1[C]2C[C]12,c8h3_aggregates_ag_a_004_b_002_001_selected_result_019_004_ag_a_004_b_002.xyz,-153.174159,C4H2,50.094
69,[C]=CC=[C],c10h6_aggregates_ag_a_004_b_002_004_selected_result_029_002_ag_a_004_b_002.xyz,-153.114385,C4H2,50.094
68,[CH2][C]1[C][C]1,c9h8_aggregates_ag_a_004_b_002_001_selected_result_008_002_ag_a_004_b_002.xyz,-153.176162,C4H2,50.094
67,[C]1[C]C[C]1,c10h3_aggregates_ag_a_004_b_002_005_selected_result_009_003_ag_a_004_b_002.xyz,-153.116975,C4H2,50.094
65,[C]=CC#C,c7h3_aggregates_ag_a_004_b_002_009_selected_result_006_000_ag_a_004_b_002.xyz,,C4H2,50.094
64,[CH]C1=C[C]1,c8h8_aggregates_ag_a_004_b_002_001_selected_result_014_003_ag_a_004_b_002.xyz,-153.186008,C4H2,50.094
66,[C]C1=C[CH]1,c9h6_aggregates_ag_a_004_b_002_007_selected_result_004_004_ag_a_004_b_002.xyz,-153.166538,C4H2,50.094
62,[C]=C1[C]C1,c10h5_aggregates_ag_a_004_b_002_005_selected_result_008_000_ag_a_004_b_002.xyz,-153.122033,C4H2,50.094
61,C#CC#C,c9h3_aggregates_ag_a_004_b_002_002_selected_result_017_005_ag_a_004_b_002.xyz,-153.278264,C4H2,50.094
