smiles,serial No.
[C@@H](CC(C)C)(CC)C,11511
C(CCC)(CCC)C,11512
[C@H](CCCC)(CC)C,11519
[C@H]1(CC[C@H](CC1)C)C,11523
CC=C=C,11535
C(CCC)(C)(C)C,11542
C1(CCCCC1)(C)C,11549
C(CCCC)(C)(C)C,11551
[C@H]1(C[C@H](CCC1)C)C,11564
[C@@H]1(CCC=CC1)C,11572
[C@@H]1(CCCC=C1)C,11573
C1CCC=C(C1)C,11574
C(CCCC)(C)C,11582
C(C=C)C=C,11587
C(C)C=C=C,11588
C(CC(C)C)C(C)C,11592
C(C(C)C)CCCC,11594
C(CC)CC=C,11597
C(CC=C)C=C,11598
C(C=CC)C=C,11599
C(=CC)C=CC,11600
C(C=CCC)C,11601
C(C)C=CC=C,11602
C1CC=CC=C1,11605
C(CCC=C)CC,11610
C(CC)CC=CC,11611
C(CC)C=CCC,11612
C(CC)C=CCCC,11621
C(CCCCCCCCC)CCCCCCCC,11635
C1(CC1)C,11657
C(C(=C)C)(C)(C)C,11669
C(C(C)(C)C)(C)(C)C,11675
C(=C=C)(C)C,11714
C1(CCC1)C,11725
C(C(=CC)C)(C)(C)C,11738
c1(c2c(cc3c1cccc3)cccc2)c1ccccc1,11766
c1(c2c3c(ccc2)cccc3)c2c(ccc1)cccc2,11789
c1(c(c(c(c(c1CC)CC)CC)CC)CC)CC,11791
c1(c(c(cc(c1CC)CC)CC)CC)CC,11794
c12c(c3ccccc3)cccc1cccc2,11795
c1(c2c(cccc2)C)c(cccc1)C,11797
C(C(C)C)(CC)CC,11863
c12c(cc3c(c1)cccc3)cccc2C,11884
c1(CC)c(cccc1)C,11903
c1(c(cccc1)C=C)C,11904
C(c1ccccc1)(c1ccccc1)C,11918
c1(cc(cc(c1)c1ccccc1)c1ccccc1)c1ccccc1,11930
c1(c2cc(ccc2)C)cc(ccc1)C,11931
c12c(ccc(c1)c1ccccc1)cccc2,11934
c12c(cc3c(c1)cccc3)ccc(c2)C,11936
c12c(cc3c(c1)ccc(c3)C)ccc(c2)C,11939
C1c2c(Cc3c1cccc3)cccc2,11940
c1(c2ccc(cc2)C)ccc(cc1)C,11941
c1(Cc2ccccc2)cc2c(cc1)cccc2,11948
C(C(=CC)C)C,12014
C(CC)(CC)CC,12048
C(CCC)(CC)CC,12096
c1(CC)cc(ccc1)C,12100
c1(CC)ccc(cc1)C,12160
c1(ccc(cc1)C=C)C,12161
C(=CC)C,12220
C(C=C(C)C)C,12243
C(C=C(C)C)(C)C,12260
C(CC#C)C,12309
C(C)C#CC,12310
C(CC(=C)C)C(=C)C,12322
C(CC=C(C)C)CC,12330
C1C=CCC=C1,12343
C(CCC#C)CC,12350
C1CCC=CCC1,12363
C(CCC)CCC#C,12370
C1=CC=CC=CC=C1,12378
C(CCCCCC)CCCCCC,12388
C(CCCCCCC)CCCCCC,12389
C(CCCCCCC)CCCCCCC,12391
C(CCCCCCC)CCCCCCC=C,12395
C(CCCCCCC)CCCCCCC#C,12396
C(CCCCCCCC)CCCCCCCC,12398
C(c1ccccc1)(c1ccccc1)(c1ccccc1)c1ccccc1,12424
c1(ccccc1)C=CC,12500
[C@H](CCC[C@@H](CCCC(C)C)C)(CCC[C@@H](CC)C)C,12523
c1(c2c(c3ccccc3)cccc2)c(c2ccccc2)cccc1,12549
c1(c(cccc1)C)c1ccccc1,12563
c1(c2ccccc2)cc(ccc1)C,12564
c1(c2ccccc2)ccc(cc1)C,12566
C(C=CC)C,12585
c12c3c(c(cc1ccc1c2cccc1)C)cccc3,12596
[C@@H]12[C@@H](C1)CC=CCC2,12614
C(=CC=CC(=CC)C)(C)C,12658
C(C)(C)C=CC,12659
C1CC=CCCC=CCCC=C1,12668
C,12669
C(=C)C#C,12720
C(C)(C)(C)C=CC,12721
C(CC=C)(C)C,12724
C(CC)CC#C,12732
C1CC(=CC1)C,12746
C1(CCCCC1)C=C,12757
C1(CCCCC1)C(C)C,12763
c1(c(c(cc(c1C)C)C)C)C,12784
[C@@]12(C[C@@]3(C[C@H](C1)C[C@H](C2)C3)C)C,12800
c1(C(C)C)cc(C(C)C)cc(C(C)C)c1,12860
[C@H](CC)(C)C=C,12969
C(=C)(CC)CC,12970
C(CC=C)(C)(C)C,12984
C(CC)C(=C)C,12986
C(C(=C)C)C=C,12987
C(=CC=C(C)C)(C)C,12992
C(CCCC)CCCC#C,12997
c1(ccc(cc1)C#C)C,13018
[C@H]1(CCc2c1cccc2)C,13023
[C@@H]1(c2c(C=C1)cccc2)C,13024
c12c(C(=CC1)C)cccc2,13025
c1(C=C(C)C)ccccc1,13030
C(c1ccccc1)CC=C,13033
c1(c(cc(cc1C)C)C)C=C,13036
C1CCC=C(C1)c1ccccc1,13043
C1Cc2c(c3c1cccc3)cccc2,13058
C(c1ccccc1)(c1ccccc1)(C)C,13065
c1(c2c(cc3c1cccc3)cccc2)C,13068
C(=Cc1ccccc1)(c1ccccc1)C,13070
c12c(c(c3c(c1C)cccc3)C)cccc2,13076
C1(c2c(c3c1cccc3)cccc2)c1ccccc1,13091
C(=CC)(CC)CC,13159
C(=C)(C)C#CC=C,13176
C(CCCCC=C)CCCC,13190
[C@@H]1([C@@H](CCC1)C)C,13197
C1CCc2c1c(ccc2)C,13211
C1(Cc2c(C1)cccc2)C,13213
C1(CCCCC1)c1ccccc1,13229
c12c(ccc(c1)C=C)cccc2,13230
c12c(cc(c(c1)C)C)ccc(c2)C,13237
C(CCC)CC=Cc1ccccc1,13242
c12c3c(ccc1cccc2C)cccc3,13256
c12c(c(ccc2)C)ccc2c1cccc2,13257
c12c3c(ccc1ccc(c2)C)cccc3,13258
C(CC(C)C)CCCCC,13379
C(CCCC)CCCC=C,13381
C1Cc2c(C1)ccc(c2)C,13402
c1(c(cc(cc1)C)C)CC,13403
c1(c(CC)ccc(c1)CC)CC,13415
c12c3c(cc(c1cccc2)C)cccc3,13438
c1(C=CC=Cc2ccccc2)ccccc1,13452
C(C)(C)(C)C#C,13512
[C@H]([C@@H](CC)C)(C(C)C)C,13533
[C@H]([C@@H](CC)C)(CCC)C,13534
C(=CC=C)(C)C,13555
C([C@H](CC)C)[C@@H](CC)C,13558
C(C)C#CCC,13568
[C@@H]1([C@@H](CCC1)C)CC,13598
[C@@H]12CC[C@@H](CC1)C=C2,13608
C1CCCC=CCC1,13609
c1(c(c(ccc1)C)C)CC,13621
c1(CC)cc(cc(c1)C)C,13627
c1(CC)cc(c(cc1)C)C,13629
C1CCCCC=CCCC1,13633
c1(CC)cc2c(cc1)cccc2,13652
c12c(c3ccccc3)cccc1ccc(c2)c1ccccc1,13771
[C@H](CCCCCCCC)(CC)C,13845
C1CCC(=CC)CC1,13856
C(Cc1ccccc1)(C)(C)C,13877
[C@H]12[C@@H](C[C@@H]([C@H](C1)C)C)CCCC2,13885
